MisconceptionId,MisconceptionName,a000-llama3-mega-misconception-aug-seed201_misunderstanding
13,"Does not subtract from the hours, when having to borrow for a time calculation","Explanation: This misconception occurs when students are performing time calculations that involve borrowing, but they fail to subtract from the hours when necessary. For example, when subtracting 2 hours and 45 minutes from 5 hours and 30 minutes, some students might correctly borrow 60 minutes from the hours to make the minutes calculation easier, but they forget to reduce the hours accordingly.

Short cases where the misconception will occur:

- Subtracting 3 hours and 15 minutes from 8 hours and 5 minutes
- Finding the difference between 9 hours and 45 minutes and 6 hours and 20 minutes
- Calculating the time difference between 10 hours and 50 minutes and 7 hours and 35 minutes
- Subtracting 2 hours and 55 minutes from 11 hours and 20 minutes
- Finding the difference between 4 hours and 10 minutes and 1 hour and 55 minutes"
14,Does not understand how to create a multiple of an equation,"Explanation: This misconception arises when students struggle to grasp the concept of creating a multiple of an equation, which involves multiplying both sides of the equation by the same non-zero value. They may not understand that this operation maintains the equation's balance and does not alter its solution. 

This misconception can manifest in various ways, such as:

- Incorrectly multiplying only one side of the equation by a value.
- Failing to recognize that multiplying both sides by the same value preserves the equation's equality.
- Not understanding that different multiples of the same equation can have different coefficients but still represent the same relationship.

Some short cases where this misconception may occur:

1. Case: Multiplying an equation by a coefficient to eliminate a fraction, but only multiplying one side of the equation.

Example: 1/2x = 3, attempting to multiply only the left side by 2 to get x = 3, instead of multiplying both sides to get x = 6.

2. Case: Creating equivalent equations to solve a system of linear equations, but failing to multiply both sides of the equation by the same value.

Example: 2x + 3y = 5 and x + 2y = 3, attempting to multiply only the first equation by 2 to get 4x + 6y = 10, without realizing the need to multiply the second equation by a corresponding value.

3. Case: Simplifying an equation by multiplying both sides by a greatest common divisor (GCD), but not recognizing that this operation maintains the equation's solution.

Example: 4x = 12, attempting to divide both sides by 2 to get 2x = 6, but not realizing that multiplying both sides by 1/2 would achieve the same result."
15,"Confuses the order of operations, believes addition comes before division","Explanation: This misconception arises when students are not fully familiar with the order of operations rule, often remembered by the acronym BIDMAS (Brackets, Indices, Division, Multiplication, Addition, and Subtraction) or PEMDAS (Parentheses, Exponents, Multiplication and Division, and Addition and Subtraction). They incorrectly assume that operations should be performed in a different order, in this case, believing that addition should be performed before division.

This misconception can lead students to incorrectly evaluate mathematical expressions. For example:

Case 1: Evaluating the expression 12 ÷ 3 + 2, a student with this misconception may first add 3 and 2 to get 5, then divide 12 by 5, resulting in an incorrect answer of 2.4.

Case 2: Evaluating the expression 8 + 4 ÷ 2, a student with this misconception may first add 8 and 4 to get 12, then divide 12 by 2, resulting in an incorrect answer of 6.

Case 3: Evaluating the expression 9 ÷ 3 + 1, a student with this misconception may first add 3 and 1 to get 4, then divide 9 by 4, resulting in an incorrect answer of 2.25."
16,Believes that graphs of inverse proportion meet the axes,"Explanation: This misconception arises when students misunderstand the concept of inverse proportionality and its graphical representation. Inverse proportionality implies that as one variable increases, the other decreases, and vice versa, often represented by the equation y = k/x, where k is a constant. The misconception here is that students think the graph of an inverse proportion will intersect with the x-axis and y-axis at specific points. However, the graph of an inverse proportion actually approaches the axes asymptotically, meaning it gets arbitrarily close but never touches the axes.

Cases where the misconception will occur:

1. Graphing the relationship between the pressure and volume of a gas: Students may incorrectly draw the graph intersecting the axes, failing to recognize that as pressure approaches zero, volume approaches infinity, and vice versa.

2. Analyzing the relationship between the number of workers and the time taken to complete a task: Students may mistakenly plot the graph crossing the axes, not understanding that as the number of workers increases, the time taken approaches zero but never actually reaches it.

3. Exploring the relationship between the distance from a light source and the intensity of the light: Students may incorrectly assume that the graph will meet the axes at specific points, failing to recognize that as distance increases, intensity approaches zero but never actually reaches it."
17,Confuses AM and PM when calculating time,"Explanation: This misconception arises when students struggle to differentiate between AM (Ante Meridiem, meaning before midday) and PM (Post Meridiem, meaning after midday) when working with time. They may incorrectly assume that AM refers to any time in the morning and evening, while PM refers to the afternoon, or vice versa. This misunderstanding can lead to errors when calculating time intervals, scheduling events, or solving time-related problems.

Short cases when the misconception will occur:

- When calculating the duration between two times, such as 9 AM to 3 PM, students might mistakenly think it's 6 hours in the morning.
- When converting 12-hour clock times to 24-hour clock times, students might incorrectly change AM to PM or vice versa, e.g., 3 PM becomes 3 AM instead of 15:00 hours.
- When solving word problems involving time, such as ""Tom has a meeting at 8 AM and another at 2 PM,"" students may confuse the AM and PM designations and schedule the meetings incorrectly.
- When reading analog clocks, students might misinterpret the AM/PM indicator, thinking that a time like 9:00 is in the evening (PM) instead of the morning (AM)."
18,"Given the length of the sides, still does not recognise there is enough information to find the area","Explanation: This misconception arises when students are given the lengths of the sides of a shape, but they fail to recognize that they have sufficient information to calculate the area. This can occur when students are not familiar with the formulas for finding the area of different shapes or when they are not confident in applying these formulas. 

For example, if students are given the lengths of the base and height of a triangle, they may not realize that they can use the formula ""Area = 0.5 x base x height"" to find the area. Similarly, if they are given the lengths of the sides of a rectangle, they may not recognize that they can use the formula ""Area = length x width"" to find the area.

This misconception can occur in various cases, such as:

- When finding the area of a triangle given the lengths of its base and height.
- When finding the area of a rectangle given the lengths of its length and width.
- When finding the area of a parallelogram given the lengths of its base and height.
- When finding the area of a trapezoid given the lengths of its parallel sides and height."
19,"When multiplying a surd by an integer, adds the integer to the number under the surd","Explanation: This misconception arises when students misunderstand the properties of surds and multiplication. They incorrectly believe that when multiplying a surd by an integer, they should add the integer to the number under the radical sign, rather than multiplying the number under the radical sign by the integer squared. 

For example, when given the expression 3 * √5, students with this misconception might write the result as √(5 + 3) = √8, or even √(5 * 3) = √15, but with the wrong reasoning. Similarly, when given the expression 2 * √3, they might write the result as √(3 + 2) = √5.

This misconception can also occur when dealing with more complex expressions, such as 2 * √(3 + 4) or (3 + 2) * √5, where the student's misunderstanding of the multiplication rule can lead to more intricate and incorrect calculations."
20,Believes the number of wholes in a mixed number multiplies by the fraction part,"Explanation: This misconception arises when students misunderstand the concept of mixed numbers. A mixed number is a combination of a whole number and a fraction. Students with this misconception believe that when you have a mixed number, the whole number part multiplies the fraction part. For example, they might think that 2 1/2 is equal to 2 x 1/2 = 2/2 + 2/2 = 4/2 = 2, or even 2 x 1/2 = 1, which is not the correct interpretation of the mixed number. They fail to understand that the whole number part and the fraction part are separate components that are added together.

This misconception will occur in cases such as:

- When converting mixed numbers to improper fractions: A student might think that 3 1/4 is equal to 3 x 1/4 instead of 3 + 1/4.
- When adding or subtracting mixed numbers: A student might think that 2 1/2 + 1 1/2 is equal to (2 x 1/2) + (1 x 1/2) instead of 2 + 1/2 + 1 + 1/2.
- When multiplying or dividing mixed numbers: A student might think that 2 1/2 x 3 is equal to (2 x 1/2) x 3 instead of (2 + 1/2) x 3.
- When solving real-world problems involving mixed numbers: A student might think that if they have 2 1/2 bags of flour, and each bag contains 5 kg of flour, they have (2 x 1/2) x 5 kg instead of 2 x 5 + 1/2 x 5 kg."
21,Estimates shares of a ratio instead of calculating,"Explanation: This misconception occurs when students are dealing with ratios and proportions, particularly when they are required to find a missing value or compare different parts of a ratio. Instead of performing the necessary calculations, students tend to estimate or guess the shares of a ratio based on intuition or rough mental calculations. 

For instance, when given a ratio of 3:5 and asked to find the value of one part if the total is 24, a student with this misconception might estimate that the first part is approximately 9 (because 3 is roughly a third of 3+5=8 and a third of 24 is 8) and the second part is around 15, rather than performing the actual calculation to find the correct values (which would be 9 and 15, but through accurate calculation: 3/8 * 24 = 9, 5/8 * 24 = 15).

This misconception can lead to inaccurate answers and a lack of understanding of the underlying mathematical concepts.

Some short cases when this misconception may occur include:

- Sharing a certain number of items in a given ratio.
- Finding missing values in a proportion or ratio problem.
- Comparing the sizes of different parts of a ratio.
- Scaling up or down a ratio to find equivalent ratios.
- Real-world applications, such as dividing a certain quantity of resources or costs in a given ratio."
22,Confuses the ten thousands and thousands place value columns,"Explanation: This misconception occurs when students struggle to differentiate between the ten thousands and thousands place value columns in a multi-digit number. They may incorrectly identify or place digits in these columns, leading to errors in reading, writing, and manipulating large numbers. For example, a student might mistake the digit in the ten thousands place for the thousands place, or vice versa.

Short cases when the misconception will occur:

1. When reading a five-digit number: A student might read 54,321 as fifty-three thousand two hundred and twenty-one, rather than fifty-four thousand three hundred and twenty-one.

2. When writing a number in standard form: A student may incorrectly write 45,678 as 4,5678 or 456,78, confusing the ten thousands and thousands place.

3. When comparing multi-digit numbers: Students might incorrectly compare numbers, thinking that 54,321 is less than 53,456 because they are focusing on the wrong place value column.

4. When performing arithmetic operations: This misconception can lead to errors when performing calculations, such as addition and subtraction, with multi-digit numbers."
23,Does not understand the command word 'difference',"Explanation: This misconception occurs when students interpret the command word 'difference' as asking for any operation (addition, subtraction, etc.) rather than realizing it specifically requires a subtraction operation to find the amount by which two values are not the same. Students may misunderstand 'difference' to mean any type of mathematical relationship or comparison, such as adding or multiplying numbers, instead of understanding it as a specific instruction to find the result of subtracting one value from another.

Short cases when the misconception will occur:

- Case 1: A question asks for the difference between 10 and 5. Students with this misconception might add 10 and 5, resulting in 15, instead of subtracting 5 from 10, resulting in 5.
- Case 2: A problem states that a person has 15 pencils and another person has 8 pencils, asking for the difference in the number of pencils they have. Students with this misconception might multiply 15 by 8 or add the numbers, instead of subtracting 8 from 15 to find the difference.
- Case 3: A data analysis question asks for the difference in the heights of two students. Students with this misconception might calculate the sum of the heights or use another operation instead of subtracting the smaller height from the larger height."
24,Does not understand the term multiple,"Explanation: This misconception occurs when students do not comprehend the concept of a multiple, which is a product of a given number and an integer. Students may struggle to understand that multiples are the result of multiplying a number by a whole number, and that every number has an infinite number of multiples. They may also confuse multiples with factors or other mathematical concepts.

Short cases when the misconception will occur:

- When asked to list the multiples of a given number, students may only list a few numbers without understanding the pattern or relationship between the numbers.
- When solving multiplication problems, students may not recognize that the product is a multiple of one of the factors.
- When working with real-world applications, such as measuring ingredients for a recipe, students may not understand that the quantities needed are multiples of a base unit (e.g., 2 x 250g of flour).
- When exploring number patterns, students may not recognize that a sequence of numbers is formed by multiples of a given number.
- When solving word problems, students may misinterpret the term ""multiple"" and think it means ""many"" or ""a lot"" rather than a specific mathematical relationship."
25,Does not realise that when you multiply by 0 the answer will always be 0,"Explanation: This misconception arises when students fail to understand the fundamental property of multiplication with zero. They might think that multiplying a number by 0 will result in the number itself or a different value, rather than understanding that any number multiplied by 0 always equals 0. This misunderstanding can stem from a lack of exposure to the concept or an incomplete grasp of the multiplication facts.

Short cases where the misconception will occur:

1. When multiplying a large number by 0: A student might think that 100 × 0 = 100, rather than 0.
2. When multiplying a decimal by 0: A student might think that 0.5 × 0 = 0.5, rather than 0.
3. When multiplying a fraction by 0: A student might think that 1/2 × 0 = 1/2, rather than 0.
4. In word problems involving real-life scenarios: A student might think that if you have 5 groups of 0 pencils, you have 5 pencils, rather than 0 pencils.
5. In algebraic expressions: A student might simplify an expression like 2x × 0 as 2x, rather than 0."
26,Thinks x = ? or y = ? is y = x,"Explanation: This misconception arises when students mistakenly believe that when they are given an equation with variables on both sides, such as x = ? or y = ?, the solution is simply the other variable. They incorrectly assume that the equation is asking for a direct equivalence between the two variables, rather than understanding that the equation is a statement of equality between two expressions.

This misconception can lead students to overlook the actual relationship between the variables and the operations being performed on them, and instead, simply swap the variables. For example, if given the equation 2x = y, a student with this misconception might write y = x, ignoring the coefficient 2.

Short cases where this misconception may occur:

* When solving linear equations, such as 2x = y or x + 3 = y.
* When working with algebraic expressions, such as simplifying 2x + 5 = y.
* When graphing linear equations, such as y = 2x, and mistakenly assuming the graph is a simple 1:1 correspondence between x and y."
27,Believes squaring a fraction requires you to double both parts,"Explanation: This misconception arises when students misunderstand the concept of squaring a fraction. They incorrectly believe that to square a fraction, they need to multiply both the numerator and denominator by 2, rather than multiplying the fraction by itself. For example, when squaring the fraction 1/2, they would incorrectly think the result is 2/4, rather than the correct result of (1/2) * (1/2) = 1/4.

This misconception can occur in the following cases:

- When simplifying algebraic expressions, such as (1/2)^2.
- When working with ratios and proportions, such as scaling a recipe up or down by a fractional factor.
- When solving geometric problems, such as finding the area of a rectangle with fractional dimensions.
- When calculating probabilities, such as finding the probability of two independent events both occurring, where each event has a fractional probability."
28,Thinks the interior angles of any polygon add up to 360,"Explanation: This misconception arises when students overgeneralize the property of a specific type of polygon, such as a quadrilateral, where the sum of the interior angles is indeed 360 degrees. They may incorrectly assume that this property applies to all polygons, regardless of the number of sides. This misunderstanding can lead to incorrect calculations and conclusions when dealing with polygons that have more or fewer sides.

This misconception will occur in cases such as:

- When asked to find the sum of interior angles of a hexagon (6-sided polygon), the student may incorrectly answer 360 degrees.
- When calculating the missing angle in a pentagon (5-sided polygon), the student may assume the sum of the interior angles is 360 degrees, resulting in an incorrect solution.
- When comparing the sum of interior angles of different polygons, the student may incorrectly conclude that they are all equal to 360 degrees, missing the relationship between the number of sides and the sum of the interior angles."
29,Forgot to simplify the fraction,"Explanation: This misconception occurs when students fail to simplify a fraction to its lowest terms. Simplifying a fraction means dividing both the numerator and the denominator by their greatest common divisor (GCD) to get the simplest form of the fraction. When students forget to simplify fractions, they may end up with equivalent fractions that appear different, leading to incorrect comparisons or calculations.

Some short cases when the misconception will occur:

- When adding or subtracting fractions with common denominators, students may not simplify the resulting fraction.
- When multiplying or dividing fractions, students may not simplify the product or quotient.
- When converting improper fractions to mixed numbers, students may not simplify the fraction part.
- When comparing fractions, students may not simplify fractions to determine which one is larger or smaller.
- When solving algebraic equations involving fractions, students may not simplify the fraction solutions."
30,"When asked for a number n times smaller or bigger, subtracts or adds n","Explanation: This misconception arises when students misunderstand the concept of ""n times smaller or bigger"" as an absolute value to be added or subtracted. They tend to think that making something 'n times smaller' means subtracting 'n' from the original value, and making something 'n times bigger' means adding 'n' to the original value. This demonstrates a lack of understanding of proportional relationships and multiplicative reasoning.

This misconception may occur in the following cases:

- A book costs $15. If it costs 3 times more, a student might answer $18 instead of $45.
- A toy car track is 12 meters long. If it's 4 times longer, a student might answer 16 meters instead of 48 meters.
- A water tank can hold 8 liters of water. If a new tank can hold 5 times less water, a student might answer 3 liters instead of 1.6 liters."
31,Does not understand bar modelling in algebra,"Explanation: This misconception arises when students struggle to visualize and apply the concept of bar modelling in algebra, which is a method used to represent and solve problems using bars or blocks to represent unknowns or variables. Students may have difficulty in understanding how to set up the model, identify the variables, and manipulate the bars to solve the equation. They may also confuse the concept of bar modelling with other algebraic methods, such as solving equations using inverse operations.

This misconception can occur in the following cases:

- When students are introduced to bar modelling for the first time and are unsure of how to apply it to different types of problems.
- When students are given complex problems that involve multiple variables or operations, and they struggle to represent these using the bar model.
- When students are asked to use bar modelling to solve word problems, and they have difficulty in translating the problem into a visual representation.
- When students are required to use bar modelling to solve equations with negative numbers or decimals, and they are unsure of how to represent these using the bar model.
- When students are given a problem that involves a combination of bar modelling and other algebraic methods, and they struggle to integrate these different approaches."
32,"When squaring a variable, believes they also need to square the coefficient","Explanation: This misconception arises when students are dealing with algebraic expressions involving variables and coefficients. They mistakenly believe that when squaring a term that includes both a coefficient and a variable, they need to square both the coefficient and the variable separately. For example, when squaring the term 3x, they might think that the result is (3^2)(x^2) = 9x^2, rather than understanding that only the variable (x) should be squared, while the coefficient (3) is simply multiplied by itself as a result of the squaring operation.

Short cases where this misconception may occur:

- Squaring 2x: Students may write (2^2)(x^2) = 4x^2 instead of (2x)^2 = 4x^2.
- Squaring 5y: Students may write (5^2)(y^2) = 25y^2 instead of (5y)^2 = 25y^2.
- Squaring -4z: Students may write ((-4)^2)(z^2) = 16z^2 instead of (-4z)^2 = 16z^2.
- Squaring 3(2x): Students may write (3^2)((2x)^2) = 9(4x^2) = 36x^2 instead of (3(2x))^2 = (6x)^2 = 36x^2."
33,Uses more than 3 letters to describe an angle,"Explanation: This misconception arises when students mistakenly believe that an angle can be described using more than three letters. In geometry, an angle is typically denoted by three letters, with the middle letter representing the vertex of the angle. Students may think that using more letters would provide more information or clarify the angle's position, but this is not the case. 

This misconception may occur in the following cases:

- When students are labeling angles in a complex diagram with multiple intersecting lines and try to include all the points that the angle's arms pass through.
- When students are describing an angle in a 3D shape and attempt to include all the vertices of the shape that are related to the angle.
- When students are comparing two or more angles and mistakenly believe that using more letters will help to differentiate between them."
34,Believes dividing a negative by a positive gives a positive answer,"Explanation: This misconception arises when students are introduced to division operations involving negative numbers. They might intuitively think that dividing a negative number by a positive number would 'cancel out' the negativity and result in a positive answer. They may apply the rule for multiplying and dividing positive numbers to negative numbers without understanding the rules for signs when dividing negative numbers by positive numbers.

Some short cases when the misconception will occur:

- When dividing a negative integer by a positive integer, e.g., -4 ÷ 2
- When dividing a negative fraction by a positive fraction, e.g., -1/2 ÷ 1/3
- When solving algebraic equations involving division with negative and positive coefficients, e.g., -x ÷ 2 = 3
- When working with word problems involving negative temperatures, finances, or other real-world applications that involve division with negative and positive numbers."
35,Believes you add 2 instead of subtracting 2 to the numbers of sides when finding total interior angles,"Explanation: This misconception arises when students are learning to calculate the total interior angles of polygons, specifically using the formula (n-2) * 180 degrees, where n represents the number of sides of the polygon. The misconception involves adding 2 to the number of sides instead of subtracting 2, which would result in an incorrect formula of (n+2) * 180 degrees.

This misconception may occur in the following cases:

- When finding the total interior angles of simple polygons such as triangles or quadrilaterals, students might mistakenly apply the incorrect formula and calculate (3+2) * 180 or (4+2) * 180.
- In problems involving the comparison of interior angles between different polygons, students with this misconception might incorrectly conclude that a polygon with more sides has a greater total interior angle than it actually does.
- When working with more complex polygon problems, such as calculating the total interior angles of polygons with many sides, students might repeatedly apply the incorrect formula, leading to significantly incorrect results."
36,Enlarges by the wrong centre of enlargement,"Explanation: This misconception occurs when students incorrectly identify the centre of enlargement when enlarging a shape. In geometry, the centre of enlargement is a fixed point from which the enlargement is performed, and the distances from this point to the corresponding points on the original and enlarged shapes are in the same ratio as the scale factor. However, students may mistakenly choose a different point as the centre of enlargement, such as a vertex or the midpoint of a side, leading to incorrect enlargements.

Short cases when the misconception will occur:

- When enlarging a shape by a scale factor of 2, a student may choose the midpoint of a side as the centre of enlargement instead of the actual centre.
- When enlarging a triangle, a student may choose a vertex as the centre of enlargement, resulting in an uneven and distorted enlarged shape.
- When enlarging a circle, a student may choose a point on the circumference as the centre of enlargement instead of the actual centre of the circle.
- When solving a problem involving the enlargement of a 2D shape, a student may ignore the given centre of enlargement and use a different point, leading to incorrect answers."
